microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
frdC	K00246	NA	NA	fumarate reductase subunit C 	NA	43.4	0.976176	0.9546	1	1.26e-07	0.0454	0.999995
frdD	K00247	NA	NA	fumarate reductase subunit D 	NA	51.7	0.999146	1	1	1.26e-07	0	1
sdhD_arch1	K18859	NA	NA	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D 	NA	161.3	1	1	1	0	0	1
sdhD_arch2	K18860	NA	NA	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D	NA	143	1	1	1	0	0	1
sucC	K01903	6.2.1.5	NA	succinyl-CoA synthetase beta subunit [EC:6.2.1.5] 	NA	266.4	0.985892	0.995767	1	1.08e-05	0.004233	0.999987
sucD	K01902	6.2.1.5	NA	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] 	NA	208.4	0.988079	0.996644	1	9.32e-06	0.003356	0.99999
oforA	K00174	1.2.7.3;1.2.7.11	NA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	NA	147	0.980829	0.999472	1	9.19e-06	0.000528	0.999991
oforB	K00175	1.2.7.3;1.2.7.11	NA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	NA	240.5	0.974974	0.975992	1	6.3e-06	0.024008	0.999988
oforC	K00177	1.2.7.3	NA	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] 	NA	130.5	0.9553	0.99336	1	8.18e-06	0.00664	1
oforD	K00176	1.2.7.3	NA	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] 	NA	69.7	0.80521	0.94444	1	3.64e-05	0.05556	1
icd	K00031	1.1.1.42	NA	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42] 	NA	377	0.79385	0.66651	1	6.68e-06	0.333493	0.999818
acnA	K01681	4.2.1.3	NA	aconitate hydratase [EC:4.2.1.3] 	NA	315.7	0.920103	0.99277	1	7.48e-05	0.00723	0.999922
acnB	K01682	4.2.1.3;4.2.1.99	NA	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 	NA	418.3	0.999334	0.99867	1	0	0.001332	1
ppdK	K01006	2.7.9.1	NA	pyruvate, orthophosphate dikinase [EC:2.7.9.1] 	NA	331.6	0.987477	0.975263	1	0	0.024737	0.999995
smtA	K14471	2.8.3.22	NA	succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22] 	NA	842.5	1	1	1	0	0	1
smtB	K14472	2.8.3.22	NA	succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22] 	NA	703.5	1	1	1	0	0	1
mcl	K08691	4.1.3.24;4.1.3.25	NA	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25] 	NA	433.7	0.975	0.95722	1	1.26e-07	0.04278	1
bccP	K02160	NA	NA	acetyl-CoA carboxylase biotin carboxyl carrier protein 	NA	96.8	0.952914	0.921108	1	5.79e-06	0.078892	0.999957
accC	K01961	6.4.1.2;6.3.4.14	NA	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] 	NA	654.2	0.93295	0.92325	1	2.85e-05	0.076752	0.999933
accA	K01962	6.4.1.2;2.1.3.15	NA	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] 	NA	77.4	0.999728	0.999455	1	0	0.000545	1
accD	K01963	6.4.1.2;2.1.3.15	NA	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] 	NA	161.4	0.999314	0.998902	1	1.26e-07	0.001098	0.999999
pcc1	K15036	6.4.1.2;6.4.1.3;2.1.3.15	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 	NA	877.9	1	1	1	0	0	1
pcc2	K15037	NA	NA	biotin carboxyl carrier protein 	NA	187.9	1	1	1	0	0	1
pcc3	K18604	6.4.1.2;6.4.1.3;2.1.3.15	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 	NA	986.9	1	1	1	0	0	1
pcc4	K18605	NA	NA	biotin carboxyl carrier protein 	NA	237.4	1	1	1	0	0	1
pcc5	K18603	6.4.1.2;6.4.1.3	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 	NA	905.7	1	1	1	0	0	1
pcc6	K01964	6.4.1.2;6.4.1.3	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 	NA	1018.6	1	1	1	0	0	1
mcr	K14468	1.2.1.75;1.1.1.298	NA	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298] 	NA	1828.9	1	1	1	0	0	1
asd1	K15017	1.2.1.75;1.2.1.76	NA	malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76] 	NA	702.8	1	1	1	0	0	1
hpd	K15039	1.1.1.298	NA	3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298] 	NA	557	1	1	1	0	0	1
hys	K15018	6.2.1.36	NA	3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36] 	NA	1333.8	1	1	1	0	0	1
acr-hydt	K14469	1.3.1.84;4.2.1.116;6.2.1.36	NA	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	NA	1778.8	1	1	1	0	0	1
hydt	K15019	4.2.1.116	NA	3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116] 	NA	339.1	0.93	0.8889	1	1.26e-07	0.1111	1
acr	K15020	1.3.1.84	NA	acryloyl-coenzyme A reductase [EC:1.3.1.84] 	NA	375.6	0.978	1	1	2.52e-07	0	1
epi	K05606	5.1.99.1	NA	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] 	NA	120.2	0.945767	0.91265	1	2.9e-06	0.087349	0.999982
mut	K01847	5.4.99.2	NA	methylmalonyl-CoA mutase [EC:5.4.99.2] 	NA	527.2	0.942535	0.891803	1	1.26e-07	0.1082	0.99997
mfch	K14449	4.2.1.148	NA	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 	NA	218.2	1	1	1	0	0	1
mct	K14470	5.4.1.3	NA	2-methylfumaryl-CoA isomerase [EC:5.4.1.3] 	NA	505.1	1	1	1	0	0	1
meh	K09709	4.2.1.153	NA	3-methylfumaryl-CoA hydratase [EC:4.2.1.153] 	NA	45.4	0.876087	0.97108	1	1.28e-05	0.02892	1
cdhA	K00192	1.2.7.4	NA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] 	NA	165.7	0.96861	0.9391	1	0	0.0609	1
cdhB	K00195	NA	NA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon 	NA	113.9	1	1	1	0	0	1
cooF	K00196	NA	NA	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit 	NA	148.3	0.859	0.82253	1	3.4e-06	0.17747	1
cooS	K00198	1.2.7.4	NA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] 	NA	167.2	1	1	1	0	0	1
fdh.NADP+A	K05299	1.17.1.10	NA	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] 	NA	980.6	0.694	0.5319	1	0	0.4681	1
fdh.NADP+B	K15022	1.17.1.10	NA	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10] 	NA	716.2	1	1	1	0	0	1
ftfL	K01938	6.3.4.3	NA	formate--tetrahydrofolate ligase [EC:6.3.4.3]	NA	106.4	0.999144	1	1	3.78e-07	0	1
folD	K01491	1.5.1.5;3.5.4.9	NA	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	NA	38.5	0.999789	0.999578	1	0	0.000422	1
metF	K00297	1.5.1.20	NA	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] 	NA	20.8	0.975104	0.998347	1	2.25e-05	0.00165	0.999977
acsE	K15023	2.1.1.258	NA	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] 	NA	318.9	0.971	0.9565	1	1.26e-07	0.0435	1
acsB	K14138	2.3.1.169	NA	acetyl-CoA synthase [EC:2.3.1.169] 	NA	964.1	0.994	0.9881	1	0	0.0119	1
acsC	K00197	2.1.1.245	NA	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] 	NA	119.9	1	1	1	0	0	1
acsD	K00194	2.1.1.245	NA	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] 	NA	97.4	0.981	1	1	8.81e-07	0	1
pta1	K00625	2.3.1.8	NA	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8] 	NA	416.7	0.69383	0.549478	1	7.05e-06	0.450522	0.999901
pta2	K13788	2.3.1.8	NA	phosphate acetyltransferase [EC:2.3.1.8]	NA	514.9	0.992687	0.98548	1	0	0.01452	0.999997
pta3	K15024	2.3.1.8	NA	putative phosphotransacetylase [EC:2.3.1.8] 	NA	264.6	0.953	0.93578	1	7.55e-07	0.06422	1
ackA	K00925	2.7.2.1	NA	ackA; acetate kinase [EC:2.7.2.1] 	NA	118.6	0.954946	0.993965	1	4.4e-05	0.006035	0.999953
asd2	K15038	1.2.1.76	NA	succinyl-CoA reductase [EC:1.2.1.76] 	NA	714.5	1	1	1	0	0	1
ssadh	K14465	1.1.1.-	NA	succinate semialdehyde reductase (NADPH) [EC:1.1.1.-] 	NA	502.5	0.963	1	1	2.52e-07	0	1
4hbl1	K18861	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA	931.1	1	1	1	0	0	1
4hbl2	K14467	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA	849.1	0.909	1	1	2.52e-07	0	1
4hbl3	K14466	6.2.1.40	NA	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 	NA	974.6	1	1	1	0	0	1
abfD	K14534	4.2.1.120;5.3.3.3	NA	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] 	NA	482.5	0.987	0.99363	1	3.78e-07	0.00637	1
cch-hbcd	K15016	4.2.1.17;1.1.1.35	NA	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35] 	NA	650.8	0.882	0.78882	1	0	0.21118	1
atoB	K00626	2.3.1.9	NA	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	NA	118.8	0.780136	0.878	0.999	0.000504	0.122	0.99933
pps	K01007	2.7.9.2	NA	pyruvate, water dikinase [EC:2.7.9.2] 	NA	299.1	0.908888	0.928595	1	4.43e-05	0.07141	0.999928
eutK	K04025	NA	NA	ethanolamine utilization protein EutK	NA	220.8	0.995	0.989	1	0	0.01093	1
eutL	K04026	NA	NA	ethanolamine utilization protein EutL	NA	257.1	1	1	1	0	0	1
eutM	K04027	NA	NA	ethanolamine utilization protein EutM	NA	121.5	0.895	0.98457	1	8.81e-06	0.01543	1
eutN	K04028	NA	NA	ethanolamine utilization protein EutN	NA	52.6	0.92759	0.99789	1	9.19e-06	0.00211	1
eutS	K04031	NA	NA	ethanolamine utilization protein EutS	NA	87.7	1	1	1	0	0	1
ccmK	K08696	NA	NA	carbon dioxide concentrating mechanism protein CcmK	NA	181.5	0.878689	0.8645	1	2.01e-06	0.13548	1
ccmL	K08697	NA	NA	carbon dioxide concentrating mechanism protein CcmL	NA	106.3	0.993	0.9863	1	0	0.0137	1
ccmM	K08698	NA	NA	carbon dioxide concentrating mechanism protein CcmM	NA	109.4	0.989	1	1	2.52e-07	0	1
ccmN	K08699	NA	NA	carbon dioxide concentrating mechanism protein CcmN	NA	155.6	1	1	1	0	0	1
ccmO	K08700	NA	NA	carbon dioxide concentrating mechanism protein CcmO	NA	351.1	1	1	1	0	0	1
citD	K01646	NA	NA	citrate lyase subunit gamma (acyl carrier protein)	NA	56.9	0.996215	1	1	6.3e-07	0	1
citE	K01644	4.1.3.34	NA	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	NA	147.1	0.920284	0.993186	1	6.11e-05	0.006814	0.99994
citF	K01643	2.8.3.10	NA	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	NA	93.6	0.99926	1	1	1.26e-07	0	1
pyc	K01958	6.4.1.1	NA	pyruvate carboxylase [EC:6.4.1.1] 	NA	666.2	0.989091	0.979984	1	2.52e-07	0.020016	0.999997
pycA	K01959	6.4.1.1	NA	pyruvate carboxylase subunit A [EC:6.4.1.1] 	NA	722.9	0.886	0.88021	1	5.16e-06	0.11979	1
pycB	K01960	6.4.1.1	NA	pyruvate carboxylase subunit B [EC:6.4.1.1] 	NA	742.5	0.714964	0.56579	1	1.13e-06	0.43421	0.99997
pflD	K00656	2.3.1.54	NA	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54] 	NA	102.1	0.960407	0.991004	1	2.44e-05	0.008996	0.999973
hbd	K00074	1.1.1.157	NA	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	NA	361.6	0.826375	0.749739	1	3.12e-05	0.250261	0.999848
crt	K01715	4.2.1.17	NA	enoyl-CoA hydratase [EC:4.2.1.17]	NA	345.3	0.727955	0.66974	1	1.86e-05	0.33026	0.999945
echA	K14086	NA	NA	ech hydrogenase subunit A	NA	475.8	0.990909	0.98198	1	0	0.018	1
fadB	K01825	1.1.1.35;4.2.1.17;5.1.2.3;5.3.3.8	NA	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	NA	742.8	0.994521	0.9891	1	0	0.0109	1
fadJ	K01782	1.1.1.35;4.2.1.17;5.1.2.3	NA	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	NA	721.7	0.94186	0.891262	1	2.52e-07	0.108738	0.999979
bcd	K00248	1.3.8.1	NA	butyryl-CoA dehydrogenase [EC:1.3.8.1]	NA	579.1	0.746556	0.62587	1	2.77e-06	0.37413	1
ptb	K00634	2.3.1.19	NA	phosphate butyryltransferase [EC:2.3.1.19]	NA	384.2	0.709	0.60154	1	4.66e-06	0.39846	0.999976
buk	K00929	2.7.2.7	NA	butyrate kinase [EC:2.7.2.7]	NA	222.2	1	1	1	0	0	1
bdhAB	K00100	1.1.1.-	NA	butanol dehydrogenase [EC:1.1.1.-]	NA	539.9	0.757	0.631	1	3.78e-07	0.369	1
atoA	K01035	2.8.3.9;2.8.3.8	NA	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]	NA	318.6	0.899	0.88918	1	4.28e-06	0.11082	1
atoD	K01034	2.8.3.9;2.8.3.8	NA	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.9 2.8.3.8]	NA	300.3	0.939834	0.89881	1	8.81e-07	0.10119	1
ydiF	K19709	2.8.3.8	NA	acetate CoA-transferase [EC:2.8.3.8]	NA	753.1	0.996	0.9925	1	0	0.00752	1
adc	K01574	4.1.1.4	NA	acetoacetate decarboxylase [EC:4.1.1.4]	NA	80.1	1	1	1	0	0	1
isopadh	K23259	1.1.1.80	NA	isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]	NA	266.6	1	1	1	0	0	1
aclSlarge	K01652	2.2.1.6	NA	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	NA	485.6	0.84905	0.822349	1	0.00013	0.177651	0.99967
aclSsmall_1	K01653	2.2.1.6	NA	acetolactate synthase I/III small subunit [EC:2.2.1.6]	NA	40	0.99397	0.98875	1	3.78e-07	0.01125	0.999994
aclSsmall_2	K11258	2.2.1.6	NA	acetolactate synthase II small subunit [EC:2.2.1.6]	NA	59.3	0.981224	0.9631	1	0	0.03686	1
alsD	K01575	4.1.1.5	NA	acetolactate decarboxylase [EC:4.1.1.5]	NA	49.7	1	1	1	0	0	1
butB	K00004	1.1.1.303;1.1.1.-;1.1.1.4	NA	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.303 1.1.1.- 1.1.1.4]	NA	378.9	0.929235	0.86898	1	1.26e-07	0.13102	1
aldh	K00128	1.2.1.3	NA	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	NA	446.8	0.431757	0.932481	0.998	0.00158	0.067519	0.99838
adh	K00001	1.1.1.1	NA	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1] 	NA	302	0.170869	0.178179	1	0.000146	0.8218	0.99972
adhP	K13953	1.1.1.1	NA	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	NA	346.7	0.921804	0.87619	1	7.56e-06	0.12381	0.999955
adhE	K04072	1.2.1.10;1.1.1.1	NA	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] 	NA	623.8	0.979905	0.960602	1	0	0.039398	0.999993
exaA	K00114	1.1.2.8	NA	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] 	NA	717	0.785455	0.6722	1	2.39e-06	0.3278	1
yiaY	K13954	1.1.1.1	NA	yiaY; alcohol dehydrogenase [EC:1.1.1.1] 	NA	558.2	0.878425	0.78321	1	0	0.21679	1
pdc	K01568	4.1.1.1	NA	PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1] 	NA	555.6	0.311	1	1	3.97e-05	0	1
ldh	K00016	1.1.1.27	NA	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27] 	NA	309.6	0.947623	0.906526	1	2.02e-06	0.09347	0.99997
xpk	K01621	4.1.2.9;4.1.2.22	NA	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] 	NA	49.3	1	1	1	0	0	1
tdcD	K00932	2.7.2.15	NA	propionate kinase [EC:2.7.2.15]	NA	593.9	0.998	0.9958	1	0	0.0042	1
pduW	K19697	2.7.2.15	NA	propionate kinase [EC:2.7.2.15]	NA	716.7	0.987	0.97345	1	0	0.02655	1
gpmA	K01834	5.4.2.11	NA	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] 	NA	194.4	0.855305	0.775403	1	1.71e-05	0.224597	0.999881
gpmB	K15634	5.4.2.12	NA	probable phosphoglycerate mutase [EC:5.4.2.12] 	NA	142.1	0.777728	0.831934	1	0.000245	0.16807	0.999622
gpmI	K15633	5.4.2.12	NA	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 	NA	111.8	1	1	1	0	0	1
apgM	K15635	5.4.2.12	NA	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 	NA	101.5	1	1	1	0	0	1
