microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
aclSlarge	K01652	2.2.1.6		acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	
aclSsmall_1	K01653	2.2.1.6		acetolactate synthase I/III small subunit [EC:2.2.1.6]	
aclSsmall_2	K11258	2.2.1.6		acetolactate synthase II small subunit [EC:2.2.1.6]	
acly	K01648	2.3.3.8		ATP citrate (pro-S)-lyase [EC:2.3.3.8] 	
acnA	K01681	4.2.1.3		aconitate hydratase [EC:4.2.1.3] 	
acnB	K01682	4.2.1.3;4.2.1.99		aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 	
acpA	K01114	3.1.4.3		phospholipase C [EC:3.1.4.3]	
acr	K15020	1.3.1.84		acryloyl-coenzyme A reductase [EC:1.3.1.84] 	
acr-hydt	K14469	1.3.1.84;4.2.1.116;6.2.1.36		acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	
acrD	K18324		2.A.6.2.7_P24177	multidrug efflux pump	
acrF	K18142		2.A.6.2.2_P31224	multidrug efflux pump	
acsB	K14138	2.3.1.169		acetyl-CoA synthase [EC:2.3.1.169] 	
acsC	K00197	2.1.1.245		acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] 	
acsD	K00194	2.1.1.245		acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] 	
acsE	K15023	2.1.1.258		5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] 	
acss	K01895	6.2.1.1		acetyl-CoA synthetase [EC:6.2.1.1] 	
actP	K14393		2.A.21.7.2_P32705;2.A.21.7.3_Q8NS49;2.A.21.7.4_D5AU53;2.A.21.7.5_D5APM1	cation/acetate symporter	
adc	K01574	4.1.1.4		acetoacetate decarboxylase [EC:4.1.1.4]	
adeB	K18146		2.A.6.2.40	multidrug efflux pump	
adeC	K18147		1.B.17;2.A.6.2.40	outer membrane protein, multidrug efflux system	
adeK	K18139		2.A.6.2.5_Q51006;2.A.6.2.9_Q9WWZ8;2.A.6.2.23_Q6VV67	outer membrane protein, multidrug efflux system	
adh	K00001	1.1.1.1		E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1] 	
adhE	K04072	1.2.1.10;1.1.1.1		adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] 	
adhP	K13953	1.1.1.1		adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	
adiA	K01584	4.1.1.19		arginine decarboxylase [EC:4.1.1.19]	
adiC	K03759		2.A.3.2.5_P60061	arginine:agmatine antiporter	
adpgk	K08074	2.7.1.147		ADPGK; ADP-dependent glucokinase [EC:2.7.1.147] 	
afuA	K02012		3.A.1.20.2_Q9KLQ7;3.A.1.10.4_Q82VN7;3.A.1.10.5_Q56925	iron(III) transport system substrate-binding protein	
afuB	K02011		3.A.1.20.2_Q9KLQ6;3.A.1.10.4_Q82VN6;3.A.1.10.5_Q56926	iron(III) transport system permease protein	
afuC	K02010	3.6.3.30	3.A.1.1.14_Q97UF2;3.A.1.20.2_Q9KLQ5;3.A.1.10.4_Q82VN5;3.A.1.10.5_A1JLH0;3.A.1.19.2_Q73RE4	iron(III) transport system ATP-binding protein [EC:3.6.3.30]	
agaEIIA	K02744	2.7.1.69	4.A.6.1.14_Q8DR78;4.A.6.1.23_C1A8G0	PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.69]	
agaEIIB	K02745	2.7.1.69	4.A.6.1.14_Q8DR76;4.A.6.1.4_Q9KIQ4	PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.69]	
agaEIIC	K02746		4.A.6.1.14_Q8DR75;4.A.6.1.4_Q9KIQ3;4.A.6.1.9_Q97N93	PTS system, N-acetylgalactosamine-specific IIC component	
agaEIID	K02747		4.A.6.1.14_Q8DR74;4.A.6.1.20_H1XXZ1;4.A.6.1.4_Q9KIQ2	PTS system, N-acetylgalactosamine-specific IID component	
aglE	K10232		3.A.1.1.32_Q55471;3.A.1.1.8_Q9Z3R5	alpha-glucoside transport system substrate-binding protein	
aglF	K10233		3.A.1.1.32_Q55472;3.A.1.1.8_Q9Z3R6	alpha-glucoside transport system permease protein	
aglG	K10234		3.A.1.1.32_Q55473;3.A.1.1.8_Q9Z3R7	alpha-glucoside transport system permease protein	
aglK	K10235		3.A.1.1.17_Q9R9Q4;3.A.1.1.4_Q01937;3.A.1.1.8_Q9Z3R9	alpha-glucoside transport system ATP-binding protein	
aguE	K17241		3.A.1.1.39	alpha-1,4-digalacturonate transport system substrate-binding protein	
aguF	K17242		3.A.1.1.39	alpha-1,4-digalacturonate transport system permease protein	
aguG	K17243		3.A.1.1.39	alpha-1,4-digalacturonate transport system permease protein	
agxt	K00830	2.6.1.44;2.6.1.45;2.6.1.51		alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	
ahpC_1	K03386	1.11.1.24		peroxiredoxin 2/4 [EC:1.11.1.24]	1
ahpC_2	K24119	1.11.1.26		NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]	
ahpC_3	K24126	1.11.1.28		lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	
ahpF	K03387	1.8.1.-		NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]	1
ahy	K20625	4.2.1.112		acetylene hydratase [EC:4.2.1.112]	
aksA	K10977	2.3.3.14;2.3.3.-		methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-] 	
aksD	K16792	4.2.1.114		methanogen homoaconitase large subunit [EC:4.2.1.114] 	
aksE	K16793	4.2.1.114		methanogen homoaconitase small subunit [EC:4.2.1.114] 	
aksF	K10978	1.1.1.87;1.1.1.-		methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-] 	
aldh	K00128	1.2.1.3		ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	
aldh7A1	K14085	1.2.1.31;1.2.1.8;1.2.1.3		ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	
aldo.classI-1	K01623	4.1.2.13		fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	
aldo.classI-2	K11645	4.1.2.13		fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	
aldo.classII	K01624	4.1.2.13		fructose-bisphosphate aldolase, class II [EC:4.1.2.13] 	
alg8	K19290	2.4.1.33	4.D.1.1.7;4.D.1.1.9	mannuronan synthase [EC:2.4.1.33]	
alg44	K19291	2.4.1.33		mannuronan synthase [EC:2.4.1.33]	
algK	K19292			alginate biosynthesis protein AlgK	
algE	K16081		1.B.13.1.1_P18895;1.B.13.1.2_Q44497;1.B.13.1.7_Q0VSL2	alginate production protein	
algG	K01795	5.1.3.37		mannuronan 5-epimerase [EC:5.1.3.37]	
algX	K19293			alginate biosynthesis protein AlgX	
algL	K01729	4.2.2.3		poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	
algI	K19294			alginate O-acetyltransferase complex protein AlgI	
algJ	K19295			alginate O-acetyltransferase complex protein AlgJ	
algF	K19296			alginate O-acetyltransferase complex protein AlgF	
allP	K10975		2.A.39.3.8	allantoin permease	
alpha-LP	K20136	3.4.21.12  		alpha-LP; alpha-lytic endopeptidase [EC:3.4.21.12]  	Serine peptidases_Family S1: chymotrypsin family;S1
alsA	K10551	3.6.3.17	3.A.1.2.6_P32721	D-allose transport system ATP-binding protein [EC:3.6.3.17]	
alsB	K10549		3.A.1.2.6_P39265	D-allose transport system substrate-binding protein	
alsC	K10550		3.A.1.2.6_P32720	D-allose transport system permease protein	
alsD	K01575	4.1.1.5		acetolactate decarboxylase [EC:4.1.1.5]	
alt	K00814	2.6.1.2		alanine transaminase [EC:2.6.1.2]	
ameC	K18904		1.B.17.3.1_P24145	outer membrane protein, multidrug efflux system	
amiS	K22112		1.A.29.1.1;1.A.29.1.2;1.A.29.1.6	amide transporter protein	
ampG	K08218		2.A.1.25.5_G3XCT7	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	
ampH	K18988	3.4.16.4 3.4.21.-		ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]	Serine peptidases_Family S12: D-Ala-D-Ala carboxypeptidase B family;S12
ampS	K19689	3.4.11.-		ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M29: aminopeptidase T family;M29
amsL	K16696		2.A.66.2.8_D4HW93	exopolysaccharide (amylovoran) exporter	
amt	K03320		1.A.11	ammonium transporter, Amt family	
anfG	K00531	1.18.6.1		nitrogenase delta subunit [EC:1.18.6.1]	
ansP	K11738		2.A.3.1.24_P77610;2.A.3.1.8_P40812	L-asparagine permease	
aotJ	K10022		3.A.1.3.11_O50181	arginine/ornithine transport system substrate-binding protein	
aotM	K10023		3.A.1.3.11_O50183	arginine/ornithine transport system permease protein	
aotP	K10025	3.6.3.-	3.A.1.3.11_O30506;3.A.1.3.1_P02915;3.A.1.3.23_Q9HU32	arginine/ornithine transport system ATP-binding protein [EC:3.6.3.-]	
aotQ	K10024		3.A.1.3.11_O50182	arginine/ornithine transport system permease protein	
apa1_2	K00988	2.7.7.5;2.7.7.53		sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53] 	
apcA	K02092			allophycocyanin alpha subunit	
apcB	K02093			allophycocyanin beta subunit	
apcC	K02094			phycobilisome core linker protein	
apcD	K02095			allophycocyanin-B	
apcE	K02096			phycobilisome core-membrane linker protein	
apcF	K02097			phycobilisome core component	
apgM	K15635	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 	
aphA	K03788	3.1.3.2		acid phosphatase (class B) [EC:3.1.3.2]	
appA	K01093	3.1.3.26;3.1.3.2		4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	
appX	K22501	7.1.1.7		cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]	
aprA	K00394	1.8.99.2		adenylylsulfate reductase, subunit A [EC:1.8.99.2] 	
aprB	K00395	1.8.99.2		adenylylsulfate reductase, subunit B [EC:1.8.99.2] 	
aprE1	K01342	3.4.21.62		subtilisin [EC:3.4.21.62]	Serine peptidases_Family S8: subtilisin family;S8
aprX	K17734	3.4.21.-		aprX; serine protease AprX [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
araE	K02100		2.A.1.1.2_P0AE24;2.A.1.1.55_P96710	MFS transporter, SP family, arabinose:H+ symporter	
araF	K10537		3.A.1.2.2_P02924	L-arabinose transport system substrate-binding protein	
araG	K10539	3.6.3.17	3.A.1.2.2_P0AAF3	L-arabinose transport system ATP-binding protein [EC:3.6.3.17]	
araH	K10538		3.A.1.2.2_P0AE26	L-arabinose transport system permease protein	
araJ	K08156		2.A.1.2.14_P23910	MFS transporter, DHA1 family, arabinose polymer utilization protein	
araN	K17234		3.A.1.1.34_P94528	arabinosaccharide transport system substrate-binding protein	
araP	K17235		3.A.1.1.34_P94529	arabinosaccharide transport system permease protein	
araQ	K17236		3.A.1.1.34_P94530	arabinosaccharide transport system permease protein	
arcA	K07773			two-component system, OmpR family, aerobic respiration control protein ArcA	
arcB	K07648	2.7.13.3		two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	
arcD	K03758		2.A.3.2.10_F2HL52;2.A.3.2.11_F2HL56;2.A.3.2.3_P18275;2.A.3.2.4_P35865;2.A.3.2.6_O32204;2.A.3.2.7_Q9Z6M8;2.A.3.2.8_P0AAE5	arginine:ornithine antiporter / lysine permease	
arg1	K23055		3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein	
arg2	K23056		3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system permease protein	
arg3	K23057		3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system permease protein	
arg4	K23058	7.4.2.1	3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]	
argT	K10013		3.A.1.3.11_O50181;3.A.1.3.1_P09551;3.A.1.3.29_P09551;3.A.1.3.29_P0AEU0	lysine/arginine/ornithine transport system substrate-binding protein	
arnE	K12962		2.A.7.22.1_Q47377	undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE	
aroP1	K16237		2.A.3.1.12_Q46065	aromatic amino acid permease	
aroP2	K11734		2.A.3.1.3_P15993	aromatic amino acid transport protein AroP	
arsB1	K03893		2.A.45.1;3.A.4.1	arsenical pump membrane protein	
arsB2	K03325		2.A.59	arsenite transporter, ACR3 family	
arsC	K00537	1.20.4.1		arsenate reductase (glutaredoxin) [EC:1.20.4.1]	
arsC2	K03741	1.20.4.4		arsenate reductase (thioredoxin) [EC:1.20.4.4]	
arrA		1.20.99.1		respiratory arsenate reductase large subunit	
arrB		1.20.99.1		respiratory arsenate reductase small subunit	
artI	K09997		3.A.1.3.3_P30859;3.A.1.3.3_P30860	arginine transport system substrate-binding protein	
artJ	K09996		3.A.1.3.3_P30860	arginine transport system substrate-binding protein	
artM	K09998		3.A.1.3.3_P0AE30	arginine transport system permease protein	
artP1	K10000	3.6.3.-	3.A.1.3.3_P0AAF6	arginine transport system ATP-binding protein [EC:3.6.3.-]	
artP2	K23059		3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transporter system substrate-binding protein	
artQ1	K09999		3.A.1.3.3_P0AE34	arginine transport system permease protein	
artQ2	K17077		3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transport system permease protein	
artR	K23060	7.4.2.1	3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]	
ascEIIB	K02752	2.7.1.69		PTS system, arbutin-, cellobiose-, and salicin-specific IIB component [EC:2.7.1.69]	
ascEIIC	K02753			PTS system, arbutin-, cellobiose-, and salicin-specific IIC component	
asd1	K15017	1.2.1.75;1.2.1.76		malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76] 	
asd2	K15038	1.2.1.76		succinyl-CoA reductase [EC:1.2.1.76] 	
aspB	K00812	2.6.1.1		aspartate aminotransferase [EC:2.6.1.1]	
aspC	K00813	2.6.1.1		aspartate aminotransferase [EC:2.6.1.1]	
asrA	K16950			anaerobic sulfite reductase subunit A 	
asrB	K16951			anaerobic sulfite reductase subunit B 	
asrC	K00385			anaerobic sulfite reductase subunit C 	
atoA	K01035	2.8.3.9;2.8.3.8		acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]	
atoB	K00626	2.3.1.9		acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	
atoD	K01034	2.8.3.9;2.8.3.8		acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.9 2.8.3.8]	
atoE	K02106		2.A.73.1.1_P76460	short-chain fatty acids transporter	
atp4aalpha	K01542	7.2.2.19		H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]	
atp4abeta	K01543	7.2.2.19		H+/K+-exchanging ATPase subunit beta [EC:7.2.2.19]	
atpA	K02111	7.2.2.1;7.1.2.2		F-type H+/Na+-transporting ATPase subunit alpha [EC:7.2.2.1 7.1.2.2]	
atpB	K02108			F-type H+-transporting ATPase subunit a	
atpC	K02114			F-type H+-transporting ATPase subunit epsilon	
atpD	K02112	7.2.2.1;7.1.2.2		F-type H+/Na+-transporting ATPase subunit beta [EC:7.2.2.1 7.1.2.2]	
atpE	K02110			F-type H+-transporting ATPase subunit c	
atpF	K02109			F-type H+-transporting ATPase subunit b	
atpG	K02115			F-type H+-transporting ATPase subunit gamma	
atpH	K02113			F-type H+-transporting ATPase subunit delta	
atpvaA	K02117	7.2.2.1;7.1.2.2		V/A-type H+/Na+-transporting ATPase subunit A [EC:7.2.2.1 7.1.2.2]	
atpvaB	K02118			V/A-type H+/Na+-transporting ATPase subunit B	
atpvaC	K02119			V/A-type H+/Na+-transporting ATPase subunit C	
atpvaD	K02120			V/A-type H+/Na+-transporting ATPase subunit D	
atpvaE	K02121			V/A-type H+/Na+-transporting ATPase subunit E	
atpvaF	K02122			V/A-type H+/Na+-transporting ATPase subunit F	
atpvaGH	K02107			V/A-type H+/Na+-transporting ATPase subunit G/H	
atpvaI	K02123			V/A-type H+/Na+-transporting ATPase subunit I	
atpvaK	K02124			V/A-type H+/Na+-transporting ATPase subunit K	
attA1	K11080		3.A.1.11.3	mannopine transport system ATP-binding protein	
attA2	K11079		3.A.1.11.3	mannopine transport system permease protein	
attB	K11078		3.A.1.11.3	mannopine transport system permease protein	
attC	K11077		3.A.1.11.3	mannopine transport system substrate-binding protein	
avrPphB	K13440	3.4.22.-  		avrPphB; cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]  	Cysteine peptidases_Family C58;C58
avrRpt2	K13439	3.4.22.-   		avrRpt2; cysteine protease avirulence protein AvrRpt2 [EC:3.4.22.-]   	Cysteine peptidases_Family C70;C70
azf	K19243	1.1.1.388		azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388] 	
baeR	K07664			two-component system, OmpR family, response regulator BaeR	
baeS	K07642	2.7.13.3		two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	
bamC	K07287		1.B.33.1	outer membrane protein assembly factor BamC	
bapA	K20750	3.4.11.25		bapA; beta-peptidyl aminopeptidase [EC:3.4.11.25]	Mixed peptidases_Family P1: DmpA aminopeptidase family;P1
bccA	K11263			bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protei 	
bccP	K02160			acetyl-CoA carboxylase biotin carboxyl carrier protein 	
bcd	K00248	1.3.8.1		butyryl-CoA dehydrogenase [EC:1.3.8.1]	
bceA	K11631		3.A.1.134.3	bacitracin transport system ATP-binding protein	
bceB	K11632		3.A.1.134.3	bacitracin transport system permease protein	
bchC	K11337	1.1.1.396		bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	
bchE	K04034	1.21.98.3		anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	
bchF	K11336	4.2.1.165		3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	
bchG	K04040	2.5.1.62;2.5.1.133		chlorophyll/bacteriochlorophyll a synthase	
bchH	K03403	6.6.1.1		magnesium chelatase subunit H [EC:6.6.1.1]	
bchJ	K04036	1.-.-.-		divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]	
bchK	K13605	2.5.1.-		bacteriochlorophyll c synthase	
bchM	K03428	2.1.1.11		magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	
bchP	K10960	1.3.1.83;1.3.1.111		geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	
bchU	K13604	2.1.1.333		bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]	
bchV	K13603	4.2.1.169		3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]	
bchX	K11333	1.3.7.14;1.3.7.15		3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15] 	
bchY	K11334	1.3.7.14;1.3.7.15		3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15] 	
bchZ	K11335	1.3.7.14;1.3.7.15		3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15] 	
bciB	K21231	1.3.7.13		3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [EC:1.3.7.13]	
bciC	K21058	3.1.1.100		chlorophyllide a hydrolase [EC:3.1.1.100]	
bciD	K21312	1.17.98.2		bacteriochlorophyllide c C-7(1)-hydroxylase [EC:1.17.98.2]	
bcpA	K01003	4.1.1.112		bcpA; oxaloacetate decarboxylase [EC:4.1.1.112] 	
bcrA	K19309		3.A.1.131.1	bacitracin transport system ATP-binding protein	
bcrB	K19310		3.A.1.131.1	bacitracin transport system permease protein	
bdhAB	K00100	1.1.1.-		butanol dehydrogenase [EC:1.1.1.-]	
benE	K05782		2.A.46.1	benzoate membrane transport protein	
bepA	K01423	3.4.-.-   		bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]   	Metallo peptidases_Family M48: Ste24 endopeptidase family;M48
betL	K05020		2.A.15.1.11_Q9X4A5;2.A.15.1.1_P54417	glycine betaine transporter	
betT	K02168		2.A.15.1.3_Q4ZLW8;2.A.15.1.5_Q92WM0;2.A.15.1.9_Q6F754	choline/glycine/proline betaine transport protein	
betA	K00108	1.1.99.1		choline dehydrogenase [EC:1.1.99.1]	
codA	K17755	1.1.3.17		choline oxidase [EC:1.1.3.17]	
gbsB	K11440	1.1.1.1		choline dehydrogenase [EC:1.1.1.1]	
betB	K00130	1.2.1.8		betaine-aldehyde dehydrogenase [EC:1.2.1.8]	
bfcA	K03886	1.10.2.-		menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]	
bglEIIA	K02755	2.7.1.69		PTS system, beta-glucosides-specific IIA component [EC:2.7.1.69]	
bglEIIB	K02756	2.7.1.69		PTS system, beta-glucosides-specific IIB component [EC:2.7.1.69]	
bglEIIC	K02757		4.A.1.2.11_P40739;4.A.1.2.14_ART98499;4.A.1.2.15_ART98417;4.A.1.2.2_P08722;4.A.1.2.5_Q8GGK3	PTS system, beta-glucosides-specific IIC component	
bglH	K10124		1.B.3.1.3_P26218	carbohydrate-specific outer membrane porin	
bgtA	K17063	3.6.3.-	3.A.1.3.12_P73721	arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:3.6.3.-]	
bgtB	K17062		3.A.1.3.12_P73544;3.A.1.3.17_Q8YSA2	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein	
bica	K07552		2.A.1.2.7_P28246	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein	
bioM	K16784	3.6.3.-	3.A.1.25.7_D5ARH0;3.A.1.25.1	biotin transport system ATP-binding protein [EC:3.6.3.-]	
bioN	K16783		3.A.1.25.7_D5ARG9;3.A.1.25.1	biotin transport system permease protein	
bioY	K03523		3.A.1.25.5_Q9WZQ6;3.A.1.25.7_D5ARG8	biotin transport system substrate-specific component	
blpA	K20344		3.A.1.112	ATP-binding cassette, subfamily C, bacteriocin exporter	
bpeE	K18901		2.A.6.2	membrane fusion protein, multidrug efflux system	
bpeF	K18902		2.A.6.2	multidrug efflux pump	
bpgm	K01837	5.4.2.4;5.4.2.11		BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11] 	
bpnt	K01082	3.1.3.7		3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7] 	
bpr	K13276	3.4.21.-		bpr; bacillopeptidase F [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
braD	K19083		3.A.1.134	bacitracin transport system ATP-binding protein	
braE	K19084		3.A.1.134	bacitracin transport system permease protein	
btuB	K16092		1.B.14.3.1_P06129	vitamin B12 transporter	
btuC	K06073		3.A.1.13.1_P06609	vitamin B12 transport system permease protein	
btuD	K06074	3.6.3.33	3.A.1.13.1_P06611	vitamin B12 transport system ATP-binding protein [EC:3.6.3.33]	
btuF	K06858		3.A.1.13.1_Q8ZRP7	vitamin B12 transport system substrate-binding protein	
buk	K00929	2.7.2.7		butyrate kinase [EC:2.7.2.7]	
butA	K03366	1.1.1.304;1.1.1.76;1.1.1.-		meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.304 1.1.1.76 1.1.1.-]	
butB	K00004	1.1.1.303;1.1.1.-;1.1.1.4		(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.303 1.1.1.- 1.1.1.4]	
bxlE	K17326		3.A.1.1.21_Q9L027	xylobiose transport system substrate-binding protein	
