microtrait_rule-name	microtrait_rule-type	microtrait_rule-substrate	microtrait_trait-name1	microtrait_trait-name2	microtrait_trait-name3	microtrait_trait-version
fec_full	count_by_substrate	Fe(III) dicitrate				development
fec_key	count_by_substrate	Fe(III) dicitrate				production
fecA	count_by_substrate	Fe(III) dicitrate				production
fep_full	count_by_substrate	Fe-enterobactin				development
fep_key	count_by_substrate	Fe-enterobactin				production
fepA	count_by_substrate	siderophore				production
fev_full	count_by_substrate	iron				development
fev_key	count_by_substrate	iron				production
fhu_full	count_by_substrate	Fe(III) hydroxamate				development
fhu_key	count_by_substrate	Fe(III) hydroxamate				production
fieF	count_by_substrate	zinc;cadmium;mercury;iron				development
fiu	count_by_substrate	siderophore				production
flq_full	count_by_substrate	drug				development
flq_partial	count_by_substrate	drug				development
focA	count_by_substrate	formate				production
focB	count_by_substrate	formate				production
fpvA	count_by_substrate	siderophore				production
frc_full	count_by_substrate	fructose				development
frc_key	count_by_substrate	fructose				production
fru1_full	count_by_substrate	fructose				development
fru1_partial	count_by_substrate	fructose				production
fru2_full	count_by_substrate	fructose				development
fru2_partial	count_by_substrate	fructose				production
ftrA	count_by_substrate	iron				production
gal_full	count_by_substrate	galactose				development
gal_partial	count_by_substrate	galactose				production
galP	count_by_substrate	galactose				production
gam_full	count_by_substrate	galactosamine				development
gam_partial	count_by_substrate	galactosamine				production
gan_full	count_by_substrate	arabinogalactan;maltooligosaccharide				development
gan_key	count_by_substrate	arabinogalactan;maltooligosaccharide				production
gat_full	count_by_substrate	galactitol				development
gat_partial	count_by_substrate	galactitol				production
gesB	count_by_substrate	copper;gold				development
gfr_full	count_by_substrate	fructoselysine;glucoselysine				development
gfr_partial	count_by_substrate	fructoselysine;glucoselysine				production
ggu_full	count_by_substrate	sugar				development
ggu_key	count_by_substrate	sugar				production
glc_full	count_by_substrate	glucose;arabinose				development
glc_key	count_by_substrate	glucose;arabinose				production
glc-1_full	count_by_substrate	glucose				development
glc-1_partial	count_by_substrate	glucose				production
glc-2_full	count_by_substrate	glucose				development
glc-2_partial	count_by_substrate	glucose				production
glcT1	count_by_substrate	glucose;mannose;xylose				production
glcU	count_by_substrate	glucose				production
glf	count_by_substrate	glucose				production
gln_full	count_by_substrate	glutamine				development
gln_key	count_by_substrate	glutamine				production
glp_full	count_by_substrate	glycerol				development
glp_key	count_by_substrate	glycerol				production
glpF	count_by_substrate	glycerol				production
glt_full	count_by_substrate	glutamate;aspartate				development
glt_key	count_by_substrate	glutamate;aspartate				production
gltP	count_by_substrate	glutamate;aspartate				production
glu_full	count_by_substrate	glutamate				development
glu_key	count_by_substrate	glutamate				production
glucP	count_by_substrate	glucose				production
glv_full	count_by_substrate	glucoside				development
glv_partial	count_by_substrate	glucoside				production
glycA	count_by_substrate	lactate;glycolate				production
gntP	count_by_substrate	gluconate;fructuronate				production
gntT	count_by_substrate	gluconate				production
gntU	count_by_substrate	gluconate				production
gsi_full	count_by_substrate	glutathione				development
gsi_key	count_by_substrate	glutathione				production
gts_full	count_by_substrate	glucose;mannose				development
gts_key	count_by_substrate	glucose;mannose				production
gut_full	count_by_substrate	glucitol;sorbitol				development
gut_partial	count_by_substrate	glucitol;sorbitol				production
gutA	count_by_substrate	sorbitol				production
hasA	count_by_substrate	heme				production
hasR	count_by_substrate	colicin				production
hcaT	count_by_substrate	maltose				production
his_full	count_by_substrate	ornithine;arginine;lysine;histidine				development
his_key	count_by_substrate	ornithine;arginine;lysine;histidine				production
hpt	count_by_substrate	glucose-6-P				production
hrt_full	count_by_substrate	iron				development
hrt_key	count_by_substrate	iron				production
hutM	count_by_substrate	histidine				production
hutT	count_by_substrate	histidine				production
hxt	count_by_substrate	sugar				production
idnT	count_by_substrate	gluconate				production
ino_full	count_by_substrate	inositol-phosphate				development
ino_key	count_by_substrate	inositol-phosphate				production
iolF	count_by_substrate	inositol				production
itsp-1_full	count_by_substrate	inositol				development
itsp-1_key	count_by_substrate	inositol				production
itsp-2_full	count_by_substrate	inositol				development
itsp-2_key	count_by_substrate	inositol				production
kdgM	count_by_substrate	oligogalacturonate				production
kdgT	count_by_substrate	deoxygluconate				production
kgtP	count_by_substrate	arabinose				production
kps_full	count_by_substrate	capsular polysaccharide				development
kps_key	count_by_substrate	capsular polysaccharide				development
kup	count_by_substrate	potassium				production
lac-1_full	count_by_substrate	lactose				development
lac-1_partial	count_by_substrate	lactose;arabinose				development
lac-2_full	count_by_substrate	lactose;arabinose				development
lac-2_key	count_by_substrate	lactose				production
lacS	count_by_substrate	lactose;raffinose;galactose				production
lacY	count_by_substrate	lactose				production
lamB	count_by_substrate	maltooligosaccharide				production
lctB	count_by_substrate	potassium				production
lctP-1	count_by_substrate	lactate				production
lctP-2	count_by_substrate	lactate				production
leuE	count_by_substrate	leucine				development
lhp_full	count_by_substrate	hydroxyproline				development
lhp_key	count_by_substrate	hydroxyproline				production
liv_full	count_by_substrate	amino acid				development
liv_key	count_by_substrate	amino acid				production
lpiT	count_by_substrate	lysophospholipid				production
lpl_full	count_by_substrate	alginate				development
lpl_key	count_by_substrate	alginate				production
lys_full	count_by_substrate	lysine				development
lys_key	count_by_substrate	lysine				production
lysE	count_by_substrate	lysine;histidine;arginine				development
lysP	count_by_substrate	lysine				production
macA_full	count_by_substrate	drug				development
macA_partial	count_by_substrate	drug				development
macB_full	count_by_substrate	drug				development
macB_partial	count_by_substrate	drug				development
maeN	count_by_substrate	malate				production
mal-1_full	count_by_substrate	maltose				development
mal-1_partial	count_by_substrate	maltose;maltodextrin				development
mal-2_full	count_by_substrate	maltose;maltodextrin				development
mal-2_key	count_by_substrate	maltose				production
malglc_full	count_by_substrate	maltose;glucose				development
malglc_partial	count_by_substrate	maltose;glucose				production
malY	count_by_substrate	maltose				production
man_full	count_by_substrate	mannose				development
man_partial	count_by_substrate	mannose				production
marC	count_by_substrate	amino acid				production
mdcF	count_by_substrate	malonate				production
mdt_full	count_by_substrate	drug				development
mdt_partial	count_by_substrate	drug				development
mdtD	count_by_substrate	drug;arabinose				development
mdtF	count_by_substrate	drug				development
mdtO	count_by_substrate	drug				development
mdtP	count_by_substrate	drug				development
melB	count_by_substrate	melibiose				production
mer_full	count_by_substrate	mercury				development
mer_partial	count_by_substrate	mercury				production
merC	count_by_substrate	mercury				production
merE	count_by_substrate	mercury				production
met_full	count_by_substrate	methionine				development
met_key	count_by_substrate	methionine				production
mfs.cp	count_by_substrate	glucose				production
mfs.set	count_by_substrate	lactose;glucose;galactoside;cellobiose;maltose				development
mgl_full	count_by_substrate	galactose				development
mgl_key	count_by_substrate	galactose				production
mgtE	count_by_substrate	magnesium				production
mhpT	count_by_substrate	arabinose				development
mla-1_full	count_by_substrate	phospholipid				development
mla-1_partial	count_by_substrate	phospholipid				production
mla-2	count_by_substrate	phospholipid				production
mleP	count_by_substrate	malate				production
mmpL10	count_by_substrate	glycolipid				development
mmpL11	count_by_substrate	heme				production
mmr	count_by_substrate	drug				development
mmuP	count_by_substrate	methylmethionine				production
mn_full	count_by_substrate	manganese;iron				development
mn_key	count_by_substrate	manganese;iron				production
mng_full	count_by_substrate	glycerate				development
mng_partial	count_by_substrate	glycerate				production
mnh_full	count_by_substrate	potassium;sodium				development
mnh_partial	count_by_substrate	potassium;sodium				production
mnt-1_full	count_by_substrate	manganese				development
mnt-1_key	count_by_substrate	manganese				production
mnt-2_full	count_by_substrate	manganese				development
mnt-2_key	count_by_substrate	manganese				production
mntH	count_by_substrate	manganese				production
mntP_key	count_by_substrate	manganese				development
mod_full	count_by_substrate	molybdate				development
mod_key	count_by_substrate	molybdate				production
msbA	count_by_substrate	phospholipid;LPS				development
mscL	count_by_substrate	osmolyte				development
msm-1_full	count_by_substrate	fructooligosaccharide				development
msm-1_key	count_by_substrate	fructooligosaccharide				production
msm-2_full	count_by_substrate	raffinose;stachyose;melibiose				development
msm-2_key	count_by_substrate	raffinose;stachyose;melibiose				production
mthK	count_by_substrate	potassium				production
mtl-1_full	count_by_substrate	sorbitol;mannitol				development
mtl-1_partial	count_by_substrate	sorbitol;mannitol				development
mtl-2_full	count_by_substrate	sorbitol;mannitol				development
mtl-2_partial	count_by_substrate	mannitol				production
mtr-2	count_by_substrate	tryptophan				production
mtrD	count_by_substrate	drug				development
mts_full	count_by_substrate	iron;zinc;manganese;copper				development
mts_key	count_by_substrate	iron;zinc;manganese;copper				production
mur_full	count_by_substrate	acetylmuramic acid				development
mur_partial	count_by_substrate	acetylmuramic acid				production
nag_full	count_by_substrate	acetylglucosamine				development
nag_partial	count_by_substrate	acetylglucosamine				production
nat-1_full	count_by_substrate	sodium				development
nat-1_key	count_by_substrate	sodium				production
nat-2_full	count_by_substrate	amino acid				development
nat-2_key	count_by_substrate	amino acid				production
nepI	count_by_substrate	ribonucleoside				development
ngc_full	count_by_substrate	acetylglucosamine				development
ngc_key	count_by_substrate	acetylglucosamine				production
nhaA	count_by_substrate	sodium				production
nhaB	count_by_substrate	sodium				production
nhaC	count_by_substrate	sodium				production
niaX	count_by_substrate	vitamin B				production
nik_full	count_by_substrate	nickel				development
nik_key	count_by_substrate	nickel				production
nirC	count_by_substrate	nitrite				production
nis_full	count_by_substrate	drug				development
nis_partial	count_by_substrate	drug				development
nisA	count_by_substrate	lantibiotic				development
nitregulatory_full	count_by_substrate	nitrogen				development
nitregulatory_partial	count_by_substrate	nitrogen				production
nixA	count_by_substrate	cobalt;nickel				production
nod_full	count_by_substrate	LPS				development
nod_partial	count_by_substrate	LPS				development
nos_full	count_by_substrate	copper				development
nos_key	count_by_substrate	copper				production
nrsA	count_by_substrate	cobalt;nickel				development
nrt_full	count_by_substrate	nitrate;nitrite				development
nrt_key	count_by_substrate	nitrate;nitrite				production
nuk_full	count_by_substrate	drug				development
nuk_partial	count_by_substrate	drug				development
nupC	count_by_substrate	nucleoside				production
nupG	count_by_substrate	nucleoside				production
nupX	count_by_substrate	nucleoside				production
occ_full	count_by_substrate	octopine;nopaline				development
occ_key	count_by_substrate	octopine;nopaline				production
oleC_full	count_by_substrate	drug				development
oleC_key	count_by_substrate	drug				development
ompA	count_by_substrate	sugar;amino acid				production
opmD_key	count_by_substrate	drug				development
opmE	count_by_substrate	drug				development
opp-1_full	count_by_substrate	oligopeptide				development
opp-1_key	count_by_substrate	oligopeptide				production
oprB	count_by_substrate	glucose;glycerol;mannitol;fructose;maltose;pentose				production
oprD	count_by_substrate	lysine;arginine;histidine;proline;tyrosine				production
oprN	count_by_substrate	drug				development
oprO_P	count_by_substrate	phosphate				production
opu_and	count_by_substrate	osmolyte				development
opu_key	count_by_substrate	osmolyte				development
oqxB	count_by_substrate	drug				development
oxlT	count_by_substrate	oxalate				production
pa_full	count_by_substrate	amino acid				development
pa_partial	count_by_substrate	amino acid				production
paa	count_by_substrate	amino acid				production
panF	count_by_substrate	pantothenate				production
pbuE	count_by_substrate	nucleoside				development
pbuG	count_by_substrate	guanosine				production
peb_full	count_by_substrate	aspartate;glutamate;glutamine				development
peb_key	count_by_substrate	aspartate;glutamate;glutamine				production
pha_full	count_by_substrate	potassium;sodium				development
pha_partial	count_by_substrate	potassium;sodium				production
pheP	count_by_substrate	phenylalanine				production
phn-1_full	count_by_substrate	aminoethylphosphonate				development
phn-1_partial	count_by_substrate	aminoethylphosphonate				production
phn-2_full	count_by_substrate	phosphonate				development
phn-2_partial	count_by_substrate	phosphonate				production
pho84	count_by_substrate	phosphate				production
phoE	count_by_substrate	phosphate				production
pit	count_by_substrate	phosphate				production
pro_and	count_by_substrate	osmolyte				development
pro_key	count_by_substrate	osmolyte				development
proP	count_by_substrate	glycine betaine;proline				production
proY	count_by_substrate	proline				production
pslD	count_by_substrate	polysaccharide				development
pst_full	count_by_substrate	phosphate				development
pst_partial	count_by_substrate	phosphate				production
psuT	count_by_substrate	nucleoside				production
pucJ	count_by_substrate	uric acid				production
putP	count_by_substrate	proline				production
puuP	count_by_substrate	putrescine				production
pvdE	count_by_substrate	siderophore				development
rbs_full	count_by_substrate	ribose				development
rbs_key	count_by_substrate	ribose				production
rbsU	count_by_substrate	glucose				production
rcnA	count_by_substrate	cobalt;nickel				production
rha-1_full	count_by_substrate	rhamnose				development
rha-1_key	count_by_substrate	rhamnose				production
rha-2	count_by_substrate	rhamnose				production
rhtA	count_by_substrate	threonine;homoserine				development
rhtB	count_by_substrate	homoserine				development
rhtC	count_by_substrate	threonine				development
rib_full	count_by_substrate	riboflavin				development
rib_partial	count_by_substrate	riboflavin				production
rocE	count_by_substrate	arginine;ornithine				production
rutG	count_by_substrate	pyrimidine				production
sam	count_by_substrate	riboflavin				production
sap_full	count_by_substrate	peptide				development
sap_key	count_by_substrate	peptide				production
satP	count_by_substrate	acetate;succinate				production
scr_full	count_by_substrate	sucrose				development
scr_partial	count_by_substrate	sucrose				production
scrY	count_by_substrate	sucrose;raffinose;maltooligosaccharide				production
sdaC	count_by_substrate	serine				production
sit_full	count_by_substrate	iron;manganese				development
sit_key	count_by_substrate	iron;manganese				production
sme_full	count_by_substrate	drug				development
sme_partial	count_by_substrate	drug				development
sor_full	count_by_substrate	sorbose				development
sor_partial	count_by_substrate	sorbose				production
sotB	count_by_substrate	arabinose				development
sstT	count_by_substrate	serine;threonine				production
ssu_full	count_by_substrate	sulfonate				development
ssu_key	count_by_substrate	sulfonate				production
ste_full	count_by_substrate	drug				development
ste_partial	count_by_substrate	drug				development
sug-1_full	count_by_substrate	sugar				development
sug-1_partial	count_by_substrate	sugar				production
sug-2_full	count_by_substrate	sugar				development
sug-2_partial	count_by_substrate	sugar				production
syrD	count_by_substrate	drug				development
tag_full	count_by_substrate	teichoic acid				development
tag_key	count_by_substrate	teichoic acid				production
tau_full	count_by_substrate	taurine				development
tau_key	count_by_substrate	taurine				production
tc_2.A.76.1.6	count_by_substrate	amino acid				development
tc.aat	count_by_substrate	alanine;serine;glycine				production
tc.agcs	count_by_substrate	alanine;glycine				production
tc.apa	count_by_substrate	amino acid				production
tc.bat2	count_by_substrate	serine				development
tc.citmhs	count_by_substrate	calcium				production
tc.cnt	count_by_substrate	nucleoside				production
tc.dass	count_by_substrate	citrate				production
tc.dme	count_by_substrate	drug				development
tc.fev	count_by_substrate	iron				production
tc.gntp	count_by_substrate	gluconate				production
tc.gph	count_by_substrate	sugar				production
tc.hae1	count_by_substrate	LPS				development
tc.livcs	count_by_substrate	amino acid				production
tc.ncs1	count_by_substrate	nucleotide				production
tc.ncs2	count_by_substrate	purine				production
tc.nss	count_by_substrate	tryptophan				production
tc.pot	count_by_substrate	peptide				production
tc.sss	count_by_substrate	proline				production
tc.sulp	count_by_substrate	fumarate				production
tc2.A.86.1.7	count_by_substrate	heme				production
tct_full	count_by_substrate	tricarboxylate				development
tct_partial	count_by_substrate	tricarboxylate				production
tcy-1_full	count_by_substrate	amino acid				development
tcy-1_key	count_by_substrate	amino acid				production
tcy-2_full	count_by_substrate	amino acid				development
tcy-2_partial	count_by_substrate	amino acid				production
tdcC	count_by_substrate	threonine				production
tehA	count_by_substrate	tellurite				development
tet35	count_by_substrate	drug				development
thi_full	count_by_substrate	thiamine				development
thi_key	count_by_substrate	thiamine				production
thiT	count_by_substrate	thiamine				production
thu_full	count_by_substrate	trehalose;maltose;sucrose;palatinose				development
thu_key	count_by_substrate	trehalose;maltose;sucrose;palatinose				production
tnaB	count_by_substrate	tryptophan				production
tog_full	count_by_substrate	oligogalacturonide				development
tog_key	count_by_substrate	oligogalacturonide				production
togT	count_by_substrate	oligogalacturonide				production
tol_full	count_by_substrate	biopolymer				development
tol_partial	count_by_substrate	biopolymer				production
treE_full	count_by_substrate	trehalose				development
treE_partial	count_by_substrate	trehalose				production
triC	count_by_substrate	drug				development
trkA	count_by_substrate	potassium				production
trkH	count_by_substrate	potassium				production
tro_full	count_by_substrate	iron;zinc;manganese				development
tro_key	count_by_substrate	iron;zinc;manganese				production
trp_full	count_by_substrate	tryptophan				development
trp_key	count_by_substrate	tryptophan				production
tsx	count_by_substrate	nucleoside				production
ttdT	count_by_substrate	tartrate				production
tuaB	count_by_substrate	teichuronic acid				development
tup_full	count_by_substrate	tungstate				development
tup_key	count_by_substrate	tungstate				production
tutB	count_by_substrate	tyrosine				production
tyrP	count_by_substrate	tyrosine				production
ugp_and	count_by_substrate	osmolyte				development
ugp_key	count_by_substrate	osmolyte				development
uhpC	count_by_substrate	hexose				production
uid-1	count_by_substrate	glucuronide				production
uid-2	count_by_substrate	glucuronide				production
ula_full	count_by_substrate	ascorbate				development
ula_partial	count_by_substrate	ascorbate				production
uraA	count_by_substrate	uracil				production
urt_full	count_by_substrate	urea				development
urt_key	count_by_substrate	urea				production
utp	count_by_substrate	urea				production
vb1x_and	count_by_substrate	osmolyte				development
vb1x_key	count_by_substrate	osmolyte				development
vex_full	count_by_substrate	LPS				development
vex_key	count_by_substrate	LPS				development
vexA	count_by_substrate	LPS				development
vexF	count_by_substrate	drug				development
vpsM	count_by_substrate	LPS				development
vpsN	count_by_substrate	LPS				development
wtp_full	count_by_substrate	molybdate;tungstate				development
wtp_key	count_by_substrate	molybdate;tungstate				production
wza	count_by_substrate	LPS				development
wzxC	count_by_substrate	LPS				development
xanP	count_by_substrate	xanthine				production
xanQ	count_by_substrate	xanthine				production
xapB	count_by_substrate	xanthosine				production
xlt_full	count_by_substrate	xylitol				development
xlt_key	count_by_substrate	xylitol				production
xyl_full	count_by_substrate	xylose				development
xyl_key	count_by_substrate	xylose				production
xylE	count_by_substrate	xylose				production
yad_full	count_by_substrate	drug				development
yad_partial	count_by_substrate	drug				development
yahN	count_by_substrate	amino acid				development
ydjE	count_by_substrate	vitamin B				production
yia_full	count_by_substrate	dicarboxylate				development
yia_partial	count_by_substrate	dicarboxylate				production
yjbB	count_by_substrate	phosphate				production
yjeH	count_by_substrate	amino acid				development
ykk_full	count_by_substrate	drug				development
ykk_partial	count_by_substrate	drug				development
ylnA	count_by_substrate	sulfate				production
ynfM	count_by_substrate	arabinose				development
yojI	count_by_substrate	drug				development
yqgE	count_by_substrate	alanine				production
yrbG	count_by_substrate	calcium				production
ytr_full	count_by_substrate	acetoin				development
ytr_partial	count_by_substrate	acetoin				production
yuiF	count_by_substrate	histidine				production
yxjA	count_by_substrate	purine				production
yyd_full	count_by_substrate	antimicrobial peptide				development
yyd_partial	count_by_substrate	antimicrobial peptide				development
zipB	count_by_substrate	zinc;cadmium				production
zm_full	count_by_substrate	zinc;manganese				development
zm_key	count_by_substrate	zinc;manganese				production
zntB	count_by_substrate	zinc				production
znu_full	count_by_substrate	zinc				development
znu_key	count_by_substrate	zinc				production
GH1	count_by_substrate	xylan and heteroxylan				production
GH2	count_by_substrate	xylan and heteroxylan				production
GH3	count_by_substrate	cellulose;chitin;xylan and heteroxylan				production
GH4	count_by_substrate	xyloglucan				production
GH5	count_by_substrate	cellulose;xylan and heteroxylan;heteromannan;mixed linkage glucan				production
GH6	count_by_substrate	cellulose				production
GH7	count_by_substrate	cellulose				production
GH8	count_by_substrate	cellulose;xylan and heteroxylan;mixed linkage glucan				production
GH9	count_by_substrate	cellulose;mixed linkage glucan				production
GH10	count_by_substrate	xylan and heteroxylan				production
GH11	count_by_substrate	xylan and heteroxylan				production
GH12	count_by_substrate	cellulose;xyloglucan				production
GH16	count_by_substrate	xyloglucan;mixed linkage glucan				production
GH18	count_by_substrate	chitin				production
GH19	count_by_substrate	chitin				production
GH20	count_by_substrate	chitin				production
GH23	count_by_substrate	chitin				production
GH26	count_by_substrate	heteromannan;mixed linkage glucan				production
GH27	count_by_substrate	xyloglucan				production
GH30	count_by_substrate	xylan and heteroxylan				production
GH31	count_by_substrate	xyloglucan				production
GH36	count_by_substrate	xyloglucan				production
GH39	count_by_substrate	xylan and heteroxylan				production
GH43	count_by_substrate	xylan and heteroxylan				production
GH44	count_by_substrate	cellulose;xyloglucan				production
GH45	count_by_substrate	cellulose				production
GH48	count_by_substrate	cellulose				production
GH51	count_by_substrate	cellulose;xylan and heteroxylan				production
GH52	count_by_substrate	xylan and heteroxylan				production
GH54	count_by_substrate	xylan and heteroxylan				production
GH62	count_by_substrate	xylan and heteroxylan				production
GH74	count_by_substrate	cellulose;xyloglucan				production
GH79	count_by_substrate	xylan and heteroxylan				production
GH97	count_by_substrate	xyloglucan				production
GH98	count_by_substrate	xylan and heteroxylan				production
GH124	count_by_substrate	cellulose				production
GH110	count_by_substrate	xyloglucan				production
GH113	count_by_substrate	heteromannan				production
GH116	count_by_substrate	xylan and heteroxylan				production
GH120	count_by_substrate	xylan and heteroxylan				production
GH134	count_by_substrate	heteromannan				production
ggt	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
